TipLabel,TOT,VIS,NIR,Res,PC1,PC2,Size
Anomala_antigua,17.23732235,4.548610409,28.27314677,-3.455083347,1.766,-1.662962973,-1.90153251
Anoplognathus_abnormis,27.27080915,16.53003306,36.64233175,-6.871788195,1.5755,-1.983449735,0.116198636
Anoplognathus_aeneus,22.10221082,10.40413966,32.27221592,-5.215983161,3.1125,-1.903878205,0.419188567
Anoplognathus_aureus,44.93753577,34.3312446,54.20352572,-6.821295931,1.714,-3.122363317,-0.411861762
Anoplognathus_boisduvalii,31.14445172,17.30304737,43.21202999,-1.062488933,2.6054,-1.635325394,-0.922038639
Anoplognathus_brevicollis,27.43900008,12.8692922,40.14934307,0.23622191,2.514,-1.14520834,-3.626919326
Anoplognathus_brunnipennis,25.57606401,12.67843782,36.81560247,-2.90977899,2.449916667,1.210034447,0.460779228
Anoplognathus_concolor,32.32811615,15.4939345,47.01418924,4.519259069,2.208833333,-0.149100565,1.427912796
Anoplognathus_daemeli,26.19181992,14.95166125,35.9964414,-5.965065239,1.986,-3.101633922,-0.313792565
Anoplognathus_flavipennis,30.0617824,13.51637674,44.48487209,3.935226594,2.1045,0.719620582,0.706099793
Anoplognathus_hirsutus,24.46514178,10.802117,36.36973075,-1.509950818,2.359116071,1.1208348,1.054541522
Anoplognathus_macleayi,38.99331953,22.61716481,53.27783398,3.775922242,3.07495,2.488911548,-3.876908216
Anoplognathus_mcalpinei,21.38887092,10.47715063,30.88598712,-6.674031416,1.934,-2.921312144,-0.91965516
Anoplognathus_montanus,30.71802082,18.48404798,41.38607574,-4.050170256,2.889166667,1.391873857,0.037263808
Anoplognathus_multiseriatus,21.79168937,9.678490445,32.33335651,-4.44103571,2.011,-1.10588851,0.145445347
Anoplognathus_narmarus,36.97703109,19.95540216,51.82880875,4.94522059,2.555733333,2.456542798,-1.569154959
Anoplognathus_nebulosus,33.59299221,20.10989,45.35681401,-1.678740803,2.4782,-1.357743189,-2.477752881
Anoplognathus_olivieri,42.17950268,29.52500234,53.22297982,-3.074035836,2.6085,-0.612048658,0.932537414
Anoplognathus_pallidicollis,30.87466964,15.33255903,44.43139495,2.095206656,2.019428571,1.485000887,-0.335067166
Anoplognathus_parvulus,36.40323682,27.54524987,44.12413249,-10.2254396,1.62375,-1.196352851,-1.290890562
Anoplognathus_pindarus,28.04663595,12.7954191,41.34392559,1.503471943,2.399125,1.436157472,0.593449449
Anoplognathus_porosus,28.18187911,13.05725516,41.36617589,1.268159265,2.416239819,0.452465046,0.374661819
Anoplognathus_prasinus,45.93265451,16.48836595,71.59813793,28.1250051,1.985,-1.11295295,1.191649036
Anoplognathus_punctulatus,24.00633526,9.218998127,36.87553295,0.553134283,2.031,-2.038882221,-0.227753161
Anoplognathus_rhinastus,25.36676299,12.4607724,36.61462745,-2.896640816,2.592666667,-0.341654431,0.015992948
Anoplognathus_rothschildti,30.04954781,17.95004418,40.60008323,-4.310873737,1.685,-1.4067727,0.447096137
Anoplognathus_rugosus,19.30906483,4.399766857,32.29552143,0.713705781,2.026666667,0.755312198,1.701654586
Anoplognathus_smaragdinus,20.78757528,6.129211281,33.53936861,0.256332496,1.82225,-3.672693416,0.018891375
Anoplognathus_suturalis,23.9324058,11.46099074,34.80424704,-3.723555668,2.222166667,1.313829711,1.219642299
Anoplognathus_velutinus,30.2509053,14.63131626,43.87176347,2.225373892,2.4598,1.712361541,-0.51151169
Anoplognathus_viridiaeneus,23.407,14.83948109,30.86829594,-10.98286128,2.784,-0.505968808,0.442589659
Anoplognathus_viriditarsis,31.08447963,17.03350859,43.33738841,-0.671990512,2.903055556,0.690700843,0.677978699
Anoplostethus_laetus,36.70548851,21.04962157,50.35874109,2.398790816,2.971,-1.783028342,-0.16856112
Anoplostethus_opalinus,27.42595669,17.12078394,36.39893656,-7.696293404,2.588,1.188858816,-0.816914933
Anoplostethus_roseus,34.89109118,25.12196809,43.42287229,-8.542965173,1.951,-1.940150183,-2.822764771
Calloodes_atkinsonii,16.27593055,6.833201525,24.47493603,-9.500601442,2.2385,-2.549914263,0.471013864
Calloodes_frenchii,17.87995277,9.605639766,25.06755676,-11.63517369,1.956,-2.927438904,-1.094242879
Calloodes_grayanus,26.41279111,13.415563,37.72538671,-2.725090295,2.694,-0.18895488,-5.202746319
Calloodes_rayneri,18.20189997,9.402262544,25.83613829,-10.66653398,2.25,-0.749839939,-0.729090939
Epichrysus_lamprimoides,26.49410469,19.25203644,32.78957853,-13.40212261,2.204,0.739283619,1.389727104
Mimadoretus_niveosquamosus,20.75879215,4.263808088,35.11161036,3.663534677,1.4225,-2.233418091,-0.314867087
Paraschizognathus_ocularis,26.18477244,8.657240559,41.46909962,5.69929082,1.94325,-0.374078565,1.240097721
Paraschizognathus_olivaceous,29.90885494,13.32803906,44.36988211,4.005500688,1.988933333,-0.607965723,1.084684171
Paraschizognathus_prasinus,25.14217032,7.250149,40.72985592,6.344175417,1.919,1.080426447,1.5209631
Repsimus_aeneus,13.58169539,4.904125715,21.11950698,-10.95843656,2.293,-0.099468841,0.684882904
Repsimus_manicatus,13.50818769,4.291067121,21.5137594,-9.961130456,2.135416667,1.03279062,1.107249817
Xylonichus_sp,40.72510237,16.02382621,62.25081673,19.23464251,2.393090909,0.012245515,2.200228375
