"","TOT","VIS","NIR"
"Anomala_antigua",21.5617431373076,5.79321374925817,35.299327459194
"Anoplognathus_aureus",21.5937100198441,10.1349919537936,31.5789385262953
"Anoplognathus_brunnipennis",27.7949439934713,14.1876161280623,39.6614989076403
"Anoplognathus_concolor",32.6158426042376,22.2876376261558,41.6295364019579
"Anoplognathus_hirsutus",21.5042742244177,11.7699274769476,29.9977993713592
"Anoplognathus_macleayi",5.72756582263407,2.90730600302295,8.18566184119487
"Anoplognathus_narmarus",7.00637031253161,3.48973467923584,10.0724197778705
"Anoplognathus_pallidicollis",8.54551804348462,4.17729607662893,12.3523933968252
"Anoplognathus_parvulus",32.0748773521355,13.2278233516249,48.5017143180608
"Anoplognathus_porosus",12.5074898721369,7.22462419737146,17.1138983683766
"Anoplognathus_prasinus",1.51840769618252,0.503479488205987,2.40265622908874
"Anoplognathus_smaragdinus",12.6763010782089,3.67345115917651,20.5223851087912
"Anoplognathus_viriditarsis",12.8133008038115,6.61630583220004,18.2134116975264
"Anoplostethus_laetus",11.2362998766093,3.97875912341542,17.5566287601843
"Anoplostethus_opalinus",20.8280670041073,8.56104742490009,31.5230675450518
"Calloodes_atkinsonii",13.3324713189302,2.13860512690874,23.074392617072
"Calloodes_frenchii",4.23327116526479,0.256299391629719,7.69156020313639
"Calloodes_grayanus",6.0129140944626,1.77503685207009,9.7045633618549
"Calloodes_rayneri",19.7325189729082,4.44669069685788,33.0443233683439
"Epichrysus_lamprimoides",24.4566702223547,8.73697176901341,38.1501190117796
"Paraschizognathus_ocularis",25.9229044909822,16.474004027543,34.1693659780765
"Paraschizognathus_olivaceous",23.5397763408394,13.5892875244194,32.2203492409744
"Paraschizognathus_prasinus",17.1478881777522,7.53488887284869,25.5287161350324
"Repsimus_aeneus",7.77394592329657,0.35565939587469,14.2233465785367
"Repsimus_manicatus",11.1274497137002,0.842491258284116,20.0713066550442
"Xylonichus_sp",10.7936611294524,4.65167536522267,16.1481705855289
